text,setiment
stora enso oyj largest papermak octob said would close four mill,negative
temporari lay off affect entir workforc also implement,negative
contract employe blue collar worker end march august,negative
current lay off addit temporari lay off agre decemb may,negative
decis mean temporari lay off fix durat compani nastola jyvaskyla unit southern central finland respect,negative
negoti result reduct peopl regular employ around half cover pension arrang,negative
number perman reduct cleric worker employe finland,negative
personnel reduct carri anjalankoski hollola jyvaskyla jarvenpaa karhula turku valkeakoski unit,negative
reduct notic appli peopl,negative
march leakag gypsum pond detect today talvivaara mine,negative
total job reduc raah steel work,negative
result person longer need,negative
biohit said reduc number leas personnel lay personnel,negative
finnish sport equip compani amer sport said decid lay worker salomon divis franc,negative
addit compani reduc maximum ten job,negative
finland finnish pharmaceut compani orion corpor omx helsinki ornav said wednesday januari conclud personnel negoti finland reduc number personnel,negative
konecran previous commun estim reduct employe group level,negative
paper stock among biggest faller stora enso pct eur real pct eur upm kymmen pct lower eur,negative
compani decid end temporarili shut ammonia plant billingham extend mainten period inc facil,negative
employ contract employe end march result compani previou employ employe talk,negative
staff reduct start immedi glaston ad,negative
total headcount reduct person compani said,negative
workforc reduc also amsterdam offic netherland,negative
personnel reduct primarili affect work parent compani diagnost busi product logist liquid handl busi,negative
third quarter fiscal efor swung net loss eur versu net profit eur correspond period fiscal,negative
konecran oyj kcrv fh fell percent euro biggest fall sinc june,negative
net sale financi year expect amount eurm oper result ebit expect loss announc,negative
oper loss total eur mn compar profit eur mn correspond period,negative
product level agre produc long time ago fall consumpt lead loss,negative
return invest roi compar first half,negative
ssh commun secur corp stock exchang releas octob pm compani updat full year outlook estim result remain loss full year,negative
sale result capit loss eurm solidium obtain tikkurila share march,negative
group result tax eur million,negative
group sale period eur million eur million result tax loss eur million,negative
total mn passeng ship journey took place northern baltic sea slightli mn,negative
finnish media group talentum issu profit warn,negative
finnish ship compani finnlin pretax loss total eur mn third quarter compar profit eur mn third quarter,negative
finland citi forssa said pay compens food industri compani hk ruokatalo atria lye leak tap water occur march,negative
acando ab acanb ss fell percent kronor lowest close sinc dec,negative
accord ceo matti perkonoja parent compani hkscan compani perform first quarter remain clearli level correspond period,negative
cencorp net sale first quarter estim eur compar eur first quarter,negative
dilut earn per share ep stood eur versu eur,negative
earn per share ep amount loss eur,negative
earn per share loss eur,negative
expens ratio compar correspond period,negative
finnish autom solut develop cencorp corpor omx helsinki cncv issu thursday septemb profit warn third quarter,negative
finnish commun electron compon supplier scanfil oyj tuesday said sale first half lower period year ago,negative
finnish forest industri group stora enso oyj issu thursday march profit warn first quarter,negative
finnish technolog compani raut corpor omx helsinki rutav issu tuesday septemb profit warn financi year,negative
q compani oper loss total eur mn compar profit eur mn q,negative
report period ep stood eur versu eur,negative
last year million passeng flew airlin percent,negative
loss financi item total eur mn compar profit eur mn correspond period,negative
loss period total eur mn compar profit eur mn,negative
myllykoski one paper plant finland one us three germani revenu eurm first half oper loss eurm reuter said,negative
nokia siemen network struggl make profit past two year,negative
oper loss amount eur mn first half compar profit eur mn first half,negative
oper loss pulp paper machineri unit eur mn septemb august compar profit eur mn year earlier,negative
oper loss total eur mn compar profit eur mn,negative
oper loss total eur mn compar profit eur mn first half,negative
oper loss total eur mn compar profit eur mn third quarter,negative
oper loss total eur mn compar profit eur mn second quarter,negative
oper loss total eur mn compar loss eur mn correspond period,negative
oper profit non recur item eur mn first nine month compar eur correspond period,negative
pretax loss total eur mn compar loss eur mn correspond period,negative
pretax loss total eur mn compar profit eur mn,negative
pretax profit total eur mn compar eur mn first quarter,negative
publish sweden oper loss eur mn q compar profit eur mn year ago,negative
raw materi price surg past year fuel part rapid industri china india develop nation,negative
rival say qualcomm fewer patent g phone earlier version lower rate,negative
compani report today oper loss eur net sale eur first quarter,negative
compani annual loss amount eek mn compar profit eek mn,negative
fair valu chang invest properti eur mn compar eur mn third quarter,negative
stock hit profit warn finnish rival rautaruukki oyj omx rtrk,negative
finnish bank land landsbanken issu profit warn,negative
finnish forest machineri manufactur ponss issu profit warn,negative
cerberu capit manag lp back print paper maker newpag corp post mix second quarter result cast cloud plan initi public offer,negative
finnish electron manufactur servic em compani elcoteq se post net loss mln euro mln first half compar net profit mln euro mln period,negative
finnish laboratori liquid handl diagnost test system develop biohit oyj omx helsinki biobv issu tuesday june profit warn financi year,negative
finnish retail softwar develop aldata solut oyj report net loss mln euro mln versu net profit mln euro mln,negative
finnish textil cloth group marimekko oyj post net profit mln euro mln compar mln euro mln,negative
stora enso net loss eur million compar eur million previou year,negative
januari june dilut loss per share stood eur versu eur first half,negative
octob upm report third quarter net loss euro million million compar net profit euro million,negative
oper loss amount eur mn compar profit eur mn second quarter,negative
oper loss non recur item eur mn compar profit eur mn,negative
oper profit margin compar year earlier,negative
oper profit eur mn compar eur mn,negative
oper result show loss eur mn year show profit eur mn,negative
perform impact consolid trend telecom sector overal structur chang contract manufactur market telecommun technolog industri electron,negative
salcomp oyj finnish maker mobil phone charger monday post eur million loss second quarter compar million profit period previou year,negative
scanfil also issu profit warn,negative
scanfil issu profit warn april,negative
oper loss amount eur mn compar profit eur mn year earlier,negative
period end cash cash equival total eur compar eur previou year,negative
poorest index figur given finnish power compani fortum,negative
real estat compani post net loss xa million xa per share compar net profit xa million xa per share correspond quarter,negative
tighten competit situat product autom market affect net sale cencorp said,negative
tietoen pct extend recent low last week second quarter report dealer said,negative
far norwegian norsk skog reduc staff level peopl plan reduc product ton finnish swedish stora enso cut staff peopl product ton,negative
march finnish electron contract manufactur scanfil oyj hel scfv said today plan merg wholli own scanfil em group ojala yhtyma oy hit snag sharehold domest rival reject deal,negative
elisa ceo sami seppanen said emt slogan best coverag across estonia clearli give mislead inform consum,negative
case effect would neg finland,negative
nokia certainli disagre qualcomm view patent situat,negative
outokumpu steel mill tornio finland suspect sourc,negative
possibl personnel reduct concern approxim peopl,negative
go bed worri everi night said,negative
compani initi estim would cut job,negative
number bodili injuri case quadrupl,negative
accord swedish author trace toxic osmium tetroxid found coast per meri northernmost part gulf bothnia,negative
finnish airlin finnair start temporari layoff cabin crew februari,negative
finnish food worker union sel plan hasten collect bargain two day strike would begin april finland,negative
finnish real kyro mill start negoti cut staff,negative
finnish suominen flexibl packag cut job unit tamper two nastola finland,negative
finland media group talentum start personnel negoti cut staff parent compani talentum publish unit talentum media,negative
accord laavainen raisio food market use reactiv inconsist,negative
antti orkola presid kemira growhow industri solut unit told thomson financi news compani put open mine price phosphat quit depress long time,negative
appli summer work seen labori stress,negative
arcelormitt chief execut offic lakshmi mittal alreadi cut output furnac,negative
result peopl made redund total person laid temporarili,negative
result negoti compani decid make peopl redund financi product ground,negative
product product continu normal temporari lay off concern simultan employe,negative
chief execut offic olli pekka kallasvuo chang tuesday mark third time nine month compani reshuffl execut oper nokia lose ground appl iphon rim blackberri,negative
cut equival cost employe target compani said,negative
eb announc stock exchang releas novemb th j bergqvist resign chairmanship membership board eb,negative
finnish soapston process fireplac maker tulikivi oyj said februari would cut less job fireplac sale organ product facil subsidiari kermansavi oy,negative
finnish suominen flexibl packag ltd own local textil compani suominen corpor group hel suyv said today would start employe negoti concern entir personnel finland,negative
finnish vaahto group provid paper make technolog process machineri start negoti concern temporari lay off employe compani plant hollola tamper finland,negative
said lose five famili month economi mani make altern arrang save money,negative
addit product varpaisj rvi factori stop begin april,negative
addit product personnel sport divis given temporari lay warn,negative
sweden oversuppli pharmaci,negative
incap furnitur present negoti staff cut,negative
initi compani said maximum peopl would made redund parent compani subsidiari,negative
disappoint see plan fold,negative
awkward thing use hold phone one hand,negative
jul polic look man say terror three male gunpoint east mapl avenu afternoon shoot one kidnap anoth,negative
korhonen dismiss post editor chief group newspap lapin kansa decemb,negative
last year upm cut product close mill finland slash job,negative
adp news jan finnish industri machineri compani vaahto group ltd oyj hel wat said today subsidiari vaahto ltd would cut job finland,negative
adpnew dec finnish cutleri hand tool maker fiskar oyj abp hel fisa said today make redund total offic manag staff member subsidiari iittala group ltd,negative
custom left powerless,negative
scanfil execut temporari lay off mid octob job cut march,negative
compani plan close two three line plant job threat,negative
largest restructur plan itali negoti job cut initi today compani note,negative
measur result weak demand shipbuild industri,negative
product liquid june employe loos job,negative
prosecutor also demand outokumpu pay fine eur,negative
pulp product finnish kemij rvi also liquid employe loos job,negative
also upset machineri work taken poland,negative
cover forest industri unit employe finland concern temporari perman lay off,negative
bad news barbequ season,negative
tornio work employ scope fix period part time temporari layoff april octob period,negative
web user click link contain mail find bogu site imit bank retriev person bank data,negative
vike line cancel servic,negative
issu thiev steal build site said mr smith,negative
novemb finnish offic furnitur maker martela oyj hel mara said today make redund three peopl nine laid perman compani offic staff factori worker,negative
chuck smith laid may hous consult job wife cut spend half famili six reli wife incom alon,negative
belaru oao lidsko pivo breweri base grodno region report decreas output million decalit januari march repres administr compani told,negative
howev suspect stole burgundi nissan altima,negative
media advisori ntsb said subsequ test train detect system intermitt fail,negative
finland snow storm brought tree power line cut electr household,negative
layoff also take place suomussalmi kuhmo plant autumn result codetermin negoti held,negative
metso estim need personnel reduct amount peopl,negative
layoff finland,negative
perman layoff plywood sawn timber sector finnish compani oper sever domest mill earlier year temporarili laid worker save cost,negative
paper compani neg territori stora enso r shed pct eur upm kymmen pct eur real b pct lower eur,negative
current refer grade instrument challeng oper due high price complex routin use,negative
dollar fell though pound yen,negative
number salari employe group administr employe dismiss sievi unit,negative
total number fill station decreas recent,negative
also cut price project paper packag analyst goldman sach said note monday,negative
finnish industri group ruukki group brought counter action finnish metal compani rautaruukki disput concern name compani,negative
border guard servic ban moor compani car ship ferri test travel railroad car termin russian port border checkpoint yet readi,negative
uncertainti cloud long term outlook,negative
octob finnish environment manag compani lassila tikanoja oyj hel latv l said monday expect oper profit exclud non recur item whole slightli lower,negative
accord finnish petrol station chain st manag director kim wiio compani forc make purchas rise price first half consum price go almost daili due competit,negative
accord latvian busi regist uponor latvia close red lvl eur usd turnov lvl mn,negative
dolc gabbana ask european union declar marimekko corpor unikko floral pattern trademark invalid continu disput two compani,negative
finnair said cancel flight would caus daili loss xac million us million,negative
food sale total eur mn octob repres decreas octob,negative
adp news may bank america bofa downgrad today rate swedish finnish paper maker stora enso oyj hel sterv finnish sector player upm kymmen oyj hel upmv underperf,negative
oper profit exclud non recur item total eur mn compar eur mn correspond period,negative
raut report loss per share eur first half ep eur correspond period,negative
air traffic finland stoppag sinc,negative
hack extra nefari tweet activ without click enough web surfer move mous cursor,negative
move trigger weak demand forestri equip uncertain market situat,negative
situat coat magazin print paper continu weak,negative
high court finland fine seven local asphalt compani lion million oper cartel,negative
estonian electron compon factori elcoteq run materi closur air traffic,negative
ferri run troubl outsid stockholm archipelago made island,negative
u energi execut say high steel price threaten energi explor,negative
capac cut passeng load factor percentag point,negative
present trade mark pit produkt littl known outsid north west russia,negative
copper lead nickel also drop hbo hbo plummet penc say year,negative
division sale demand half remain inconsist ad,negative
strike finnair estim incur net loss eurm eur per day,negative
earn per share ep drop eur eur,negative
emsa deputi chairman board juri lember told bn wednesday first time heard strike swedish side inform estonian union yet,negative
finnair passeng load factor measur number sold seat share avail seat drop percentag point septemb,negative
frost sold share million per share compar friday high low,negative
full year oper result million neg,negative
glaston net profit third quarter drop mln euro mln mln euro mln correspond period,negative
q compani result tax continu oper exclud non recur item total eur mn compar eur mn correspond period,negative
kone said court paper union action delay repair elev feder courthous jan saltonstal state offic build jan,negative
l net profit whole drop eur million eur million,negative
lassila tikanoja oper profit exclud non recur imput item second quarter eur eur year ago,negative
last year third quarter result burden cost stem restructur us,negative
mani commerci vessel got stuck narrow bay bothnia ice thicker around aaland island,negative
net cash flow oper activ neg eur mn compar eur mn correspond period,negative
net cash oper activ neg eur mn compar eur mn,negative
net sale drop year year eur million,negative
net sale eaten weak us dollar,negative
nordic bank alreadi write sizabl loan latvia swedbank nordea dnb seb report combin loss excess billion period backdrop near econom meltdown latvia,negative
okmet expect net sale first half less,negative
top us commerc depart publish wors expect construct spend figur novemb,negative
oper profit exclud non recur item total eur mn eur mn correspond period,negative
oper profit exclud non recur item total eur mn eur mn,negative
oper profit exclud non recur item amount eur mn eur mn year year,negative
oper profit exclud non recur item eur million compar eur million,negative
relat citi damag comment mr ashley criticis citi investor analyst cri babi,negative
report oper margin neg,negative
stora chief execut jouko karvinen describ russian tariff hike threat futur forest product industri finland,negative
swedbank share hardest hit swedish bank ongo intern financi crisi,negative
acquisit landsbanken sverig burden perform eur mn,negative
currenc effect pct mln euro mln neg impact revenu,negative
finnish compani previous said oper result lower break even post year earlier,negative
maritim administr said ship ignor warn ici condit,negative
offer deem low finnlin board stand pm tomorrow,negative
period sale drop eur million eur million accord interim report releas today,negative
recent troubl simpli make netel cheaper,negative
union file grievanc compani overtim assign polici,negative
therefor compani result remain weaker,negative
vaisala net profit third quarter drop mln euro mln mln euro mln period,negative
consider weaker u dollar british pound impact sale averag price euro upm said,negative
implement program neg impact earn mr meiklejohn said,negative
say number deal becom normal moment therefor decid devalu apart sale ad,negative
cut frequenc new york last year explain fall said,negative
see market continu tight magazin paper target close deal end year,negative
survey conduct taloustutkimu sampo life show compani badli prepar lose key staff member,negative
agricultur newspap maaseudun tulevaisuu reader repres decreas,negative
cet arcelormitt lost eur euronext pari come lead blue chip faller,negative
cash flow oper januari decemb neg eur mn compar eur mn correspond period,negative
ep drop eur eur,negative
kiosk cinema oper suffer particular,negative
kone share drop percent xac us helsinki,negative
ramir made million kroon eur mln loss last year year compani million kroon black,negative
return capit employ roce neg compar,negative
stora enso target cut eur eur holmen target sek sek,negative
dismiss staff member take matter court unless settl outsid,negative
eu commiss said earlier fine thyssenkrupp unit technolog corp oti schindler ag kone oyj total mln eur alleg cartel activ lift market go back twelv year,negative
one dark spot horizon howev compani perform finnish bottl water market,negative
period sale drop eur eur accord interim report releas today,negative
yit lodg counter claim nest oil total eurm primarili base work carri contract addit cost incur due prolong project,negative
rapala vmc corpor stock exchang releas octob kaupth bank oyj kapth inform rapala vmc corpor rapala interrupt liquid provid rapala share time,negative
howev increas signal traffic wast network resourc allow fewer smartphon connect,negative
first ship delay estim complet spring,negative
tallink silja attribut signific drop problem book system taken oper octob sale trailer ferri sky wind rout stockholm riga passeng helsinki stockholm rout,negative
finnlin estim annual gener meet financi tough year due larg invest,negative
adjust fall price level contrast less effect,negative
march goldman sach estim neg prospect norwegian mobil oper norway telenor asa osl tel sweden teliasonera ab sto tlsn short term,negative
base first quarter result exist order backlog new order prospect compani expect full year sale contract gross margin stay healthi level oper profit margin lower due lower sale volum,negative
store march finnish stationeri gift retail tiimari hel tiiv said yesterday cut total job unit tiimari retail ltd gallerix finland ltd result closur shop,negative
driver left car suspect kidnap forc gunpoint drive durham,negative
administr indic need job cut irish insur next month,negative
total need staff cut correspond man year,negative
accord scanfil demand telecommun network product fluctuat significantli third quarter situat expect remain unstabl rest year,negative
finnair believ strike caus daili net loss excess eur mn due cancel reserv passeng rout,negative
helsinki thomson financi share close littl chang cargotec huhtamaki drop sharpli disappoint second quarter report,negative
airlin estim cancel flight due closur european airspac process recommenc traffic caus compani loss eurm includ cost strand passeng accommod,negative
announc come two week key licens agreement expir two compani embroil disagr royalti payment texa instrument chip use qualcomm patent technolog,negative
finland op pohjola staff union boycot group insur sale task compani refus take sale insur account determin wage,negative
ruukki group calcul lost eur mn fail project,negative
samsung current occupi third place lost ground quarter drop share overal,negative
baltimor polic fire pension billion lost million madoff ponzi scheme,negative
vanhanen said strike would extrem damag particip report begin arriv finland one day eu summit russian presid vladimir putin lahti kilomet mile north helsinki,negative
small firm suffer moment like money troubl ad,negative
altogeth finnair cancel flight strike,negative
oper result exclud one item total eur mn compar eur mn continu oper exclud one item,negative
dealer said share larg hit investor disappoint refin margin usd per barrel quarter perform ship unit saw ebit drop mln eur mln eur year amid fall volum tanker rate,negative
make matter difficult compani said grappl higher oil ga price push cost energi raw materi transport,negative
small investor voic fear share end risk investor,negative
result also burden increas fix cost associ oper china restructur cost japan,negative
oper profit month period decreas eur turnov increas eur compar financi year,negative
oper profit month period decreas eur net turnov increas eur compar financi year,negative
oper profit month period decreas eur net sale increas eur compar financi year,negative
oper profit six month period decreas eurm net sale increas eur compar correspond period,negative
oper profit three month period decreas eur net sale increas eur compar correspond period,negative
first half bank oper profit fell eur mn eur mn net interest incom increas eur mn eur mn first half,negative
oper profit month period decreas eur net sale increas eur compar,negative
oper profit nine month period decreas eur net sale increas eur compar correspond period,negative
compar oper profit quarter decreas eurm sale increas eurm compar third quarter,negative
earlier today geberit finnish rival uponor oyj cut full year sale growth forecast pct pct blame tough condit germani us well currenc factor,negative
oper loss total eur mn profit eur mn first half,negative
oper loss total eur mn profit eur mn,negative
pretax loss total eur mn profit eur mn,negative
group oper loss eur mn profit eur mn,negative
finnish nation carrier said net loss april june euro million net profit euro million year earlier,negative
gener oper loss eur mn profit eur mn,negative
upm said move lower net profit xac million us million second quarter mainli due impair charg,negative
sinc associ data cover sale figur small local breweri sale import beer product actual market share member smaller given report,negative
pm omx helsinki pct lower omx helsinki pct volum mln eur,negative
pm omx helsinki pct omx helsinki pct lower mln eur turnov,negative
helsinki afx kci konecran said franklin resourc inc share vote right finnish crane compani fell last week pct pct octob,negative
januari august import sea contain lorri trailer unit fell export correspond period,negative
airlin share price close slightli xac us helsinki,negative
omx helsinki end pct lower omx helsinki pct bln eur turnov,negative
inform releas septemb nokia american depositari share fell,negative
finnish construct compani yit reduc number start up market financ residenti unit previous announc,negative
huhtamaki market biggest faller pct lower eur omx helsinki pct higher omx helsinki pct,negative
pm omx helsinki index pct lower,negative
close omx helsinki pct lower point omx helsinki pct point bln eur turnov,negative
capac eas seikku sawmil pori alholma sawmil pietarsaari result peopl laid around six week start mid may said,negative
compani confirm estim lower revenu whole year ago eur million usd given interim report august,negative
compani expect net sale whole remain level,negative
measur result decreas demand technic design product inform,negative
omx nordic omxn index compris trade nordic stock nasdaq omx exchang close point thursday,negative
repurchas shall decreas distribut capit reserv,negative
net sale period expect fall well last year result non recur item expect red,negative
finland bank land report oper profit fell eur mn second quarter eur mn second quarter,negative
budapest august mti finnish electron maker elcoteq lay worker plant pec hungari end septemb fall order commun director elcoteq local unit zoltan krippl told mti monday,negative
earn per share ep decreas eur eur,negative
finnair tallinn base subsidiari aero carri passeng declin rout helsinki baltic capit within southern finland,negative
helsinki afx kesko corp expect report lower second quarter ep today due tax charg earn line seen higher year year analyst said,negative
q bank land net interest incom weaken eur mn,negative
adpnew aug finnish media group ilkka yhtyma oyj hel ilk said today net profit fell year eur million usd first half,negative
oper profit lower outlook publish earlier,negative
oper profit continu oper fell eur mn eur mn first half,negative
revenu quarter total billion percent billion fourth quarter,negative
sampo bank market share lend first quarter,negative
sanoma news advertis sale decreas year,negative
octob finnish environment manag compani lassila tikanoja oyj hel latv l said today net profit declin eur first nine month eur period year earlier,negative
finnish bank land report oper profit fell eur mn third quarter eur mn third quarter,negative
finnish bank land report oper profit eur mn first quarter eur mn correspond period,negative
finnish electron contract manufactur scanfil report net sale eur mn eur mn,negative
finnish electron contract manufactur scanfil report net sale eur mn second quarter eur mn year earlier,negative
finnish exel composit technolog compani design manufactur market composit profil tube variou industri applic report net sale decreas second quarter eur mn eur mn correspond period,negative
finnish geosentr net sale decreas eur januari march,negative
finnish kemira net sale eur decreas eur mn januari june eur mn januari june,negative
finnish plumb heat system supplier uponor net sale continu oper decreas eur mn eur mn,negative
finnish plumb heat system supplier uponor net sale continu busi oper decreas eur mn juli septemb compar eur mn third quarter,negative
finnish scanfil contract manufactur system supplier commun industri electron report net sale eur mn first half eur mn year earlier,negative
finnish scanfil system supplier contract manufactur commun sector electron industri report net sale total eur mn first half eur mn first half,negative
finnish scanfil system supplier contract manufactur commun sector electron industri report net sale eur mn first quarter per cent smaller correspond period,negative
finnish ship compani finnlin grimaldi group report net sale decreas eur mn januari june eur mn correspond period,negative
cargo traffic fell year year tonn septemb,negative
cash flow invest amount eurm eurm,negative
coca cola market leader manufactur market share correspond period,negative
compar oper profit decreas eur mn eur mn correspond period,negative
consolid oper profit continu oper decreas eur mn eur mn,negative
consolid pretax profit decreas eur mn eur mn,negative
devic volum area decreas mn unit,negative
dilut earn per share ep declin eur eur,negative
dilut earn per share ep fell eur eur,negative
eur h august finnish media group ilkka yhtyma oyj hel ilk said today net profit fell year eur first half,negative
earn per share ep amount eur eur,negative
earn per share ep first half amount eur eur year ago,negative
finnair total traffic decreas term revenu passeng kilometr,negative
finnish busi softwar group affectogenimap oyj said net profit halv mln euro mln first nine month mln euro mln period,negative
finnish financi softwar solut develop baswar oyj said net profit fell euro mln first quarter mln euro mln year earlier,negative
finnish glass technolog compani glaston oyj abp net profit decreas mln euro mln first nine month mln euro mln period,negative
finnish manag softwar solut provid ixono oyj net profit decreas euro first quarter euro mln period,negative
finnish media compani talentum oyj net profit decreas mln euro mln first quarter mln euro mln period,negative
finnish metal product compani componenta oyj net profit went slightli mln euro mln first half mln euro mln period,negative
separ announc helsinki stock exchang atria reveal compani third quarter profit declin eur third quarter last year eur year q,negative
fourth quarter net sale decreas eur mn eur mn fourth quarter,negative
insur axa par cs slid eur citigroup ing slash target stock,negative
adp news feb finnish wood product technolog supplier raut oyj hel rutav said today net profit decreas eur million usd eur million,negative
adp news feb finnish construct compani lemminkainen oyj hel lem said today net profit decreas eur million usd eur million,negative
adp news feb finnish broadband data commun system solut compani telest oyj hel tltv said today net profit decreas eur million usd eur million,negative
adp news jan finnish mobil phone maker nokia oyj omx nokv said today oper profit decreas eur billion usd bn eur billion,negative
adpnew may finnish cutleri hand tool maker fiskar oyj abp hel fisa said today net profit declin eur million usd first quarter eur million correspond,negative
adpnew oct finland base consult tieto oyj hel tiev said today net profit plung eur million usd first nine month eur million period,negative
market share decreas rout helsinki finland tallinn estonia percentag point,negative
net profit fell almost half million million end,negative
net profit three month march fell xac million us million xac million year earlier finnish compani said,negative
net sale decreas eur mn eur mn correspond period,negative
net sale fell third quarter eur mn,negative
net sale fell previou account period,negative
net sale kyro main busi area glaston technolog manufactur glass process machin decreas eur mn eur mn januari septemb,negative
oper profit decreas eur mn eur mn,negative
oper profit fell eur mn second quarter eur mn second quarter,negative
